ID,"Question 1: Naming Style - When naming methods, the name should use a standard naming style such as camelCase or under_score; Camel case uses upper case letters for each word. Underscore uses ""_"" to separate words.",Additional Comments:,"Question 2: Verb Phrase - When naming methods, the name should always contain a verb(s) or verb phrase that refers to the behavior of the method.",Additional Comments:,"Question 3: Dictionary Terms - When naming methods, developers should use only natural language dictionary words and/or familiar/domain-relevant terms.",Additional Comments:,"Questions 4: Abbreviations - When naming methods, the chosen name should contain only known or standard (i.e., recognized by others within the company) abbreviated terms. A poor abbreviation is one that has multiple possible expansions, interpretations or is not typically used within the system domain.",Additional Comments:,"Questions 5: Acronyms - When naming methods, the name should contain only known or standard (i.e, recognized by others in the company) acronyms. A poor acronyms is one that has multiple possible expansions, interpretations or is not typically used within the system domain.",Additional Comments:,"Question 6: Size - When naming methods, the maximum number of words in a name should not be greater than:",Additional Comments:,"Question 7: Idioms and Slang - When naming methods, the name should not contain personal expressions, idioms, or unknown slang.",Additional Comments:,"Question 8: Grammatical Structure - When naming methods, names with multiple words should be in a grammatically correct sentence structure.",Additional Comments:,"Question 9: Full Words - When naming methods, the name should use full words rather than a single letter to clearly indicate the task of the method.",Additional Comments:,"Question 10: Prefix/Suffix - When naming methods, the name should not contain a prefix/suffix that is a term from the system. This standard does not apply to languages such as C that do not have namespaces.",Additional Comments:,"Is there any other method naming standards that you feel are important?  If so, please provide some details of the standard.","Coding Standards - At your place of work, are there strict naming conventions in their coding standards?",Please give a short description of the naming coding standards you use:,Which programming language are you familiar with? - Selected Choice,Which programming language are you familiar with? - Other language? Please specify below. - Text,How many years of programming experience do you have?
1,Strongly Agree,,Agree,,Strongly Agree,,Agree,,Agree,"I think this is valuable, but the method names above break the rule of strict Camel/snake case  method names should be gui_interface() or convertToAscii()",10,,Strongly Agree,,Agree,,Strongly Agree,,Agree,,"I would rather have a name that is too long than a name that leaves me wondering what the heck the method does. This is my biggest complaint when reading code. Often method names aren’t descriptive enough or don’t follow a consistent wording structure, and that makes maintaining the code base difficult. ",No Standards,"My company builds solutions, so we defer to the client. ","Python,Java,C#,JavaScript,Other language? Please specify below.","Scala
",3 - 4 years
2,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,3,,Strongly Agree,,Agree,,Strongly Agree,,Strongly Agree,,,No Standards,varies from project tp project,C,,10+ years
3,Strongly Agree,If using camelcase try to avoid two letter words,Agree,,Agree,,Strongly Agree,,Strongly Agree,,4,,Strongly Agree,,Agree,,Strongly Agree,,Strongly Agree,,,Strict,,"Python,C",,5 - 9 years
4,Agree,,Agree,,Disagree,,Agree,,Agree,,6,"The examples may not explain the question well. What is the definition of ""number of words""?",Agree,,Agree,,Disagree,,Disagree,,,Strict,Java Code Conventions,"Python,Java,C,JavaScript,Other language? Please specify below.",Ruby,10+ years
5,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Strongly Agree,,Strongly Disagree,"functional program takes a more declarative tone, which helps divorce the what from the how.  for example compare 'compute_length(list l)' with the more declarative'length(list l)'",Agree,data shows that quality abbreviations work just as well as dictionary words.,Strongly Agree,,Strongly Agree,not exclusively i assume :) ,5,an absoolute rule here is silly.  on average 2-3 parts with rare exceptions woudl be more reasonable.,Strongly Agree,,Disagree,,Strongly Agree,again quality abbreviations are swell,,"not repeating class/name-space names is sensible,   i'd assume anyone including a system term had a good reason ... e.g., a DLL where it is likely a good idea?",i'm a big fan of and consistent concise clear naming scheme,Strict,my workplace is a university and the strictness is enforced by me :),"C++,Python,Java,JavaScript,Other language? Please specify below.","the list is long ... R, ML, Scheme, Cobol, x86, Go, Ruby, srcml, Fortran, Basic, prolog, etc.",10+ years
7,Strongly Agree,,Agree,,Disagree,,,,,,,,,,,,,,,,,,,,,
8,Strongly Agree,,Agree,,Agree,,,,Agree,,3,,Disagree,,Agree,,Disagree,,Agree,,,No Standards,,"C++,Python,C#,JavaScript",,5 - 9 years
9,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,5,"Word length might be a consideration if abnormally long words are used. My thinking is that the first word is a verb, two of the words may be adjectives, another word for a noun, and an extra slot acting as a buffer for any extra descriptors. (Also the slider is a bit weird) ",Agree,Some naming methods that are within other naming standards but so happen to also be an idiom? Idioms may be region or domain-specific.,Strongly Agree,This follows back to a previous question: method names should start with a verb.,Strongly Agree,,Strongly Agree,,,,,"C++,Python,C#",,5 - 9 years
10,Strongly Agree,,Agree,,Agree,,Strongly Agree,,Strongly Agree,,5,,Strongly Agree,,Agree,,Strongly Agree,,Disagree,,,Not Strict,,"C++,Python,Java,C,C#",,5 - 9 years
11,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,5,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,,Strict,,"C++,Java",,3 - 4 years
12,Agree,,Disagree,,Strongly Agree,,Agree,,Agree,,8,,Strongly Agree,,Agree,,Strongly Agree,,Strongly Agree,,,Strict,,"C++,Python,Java,JavaScript",,3 - 4 years
13,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,3,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,,No Standards,,Python,,3 - 4 years
14,Strongly Agree,,Strongly Agree,,Agree,,Agree,,Agree,,15,"This survey should not limit the size to 15. Participants should be able to write a larger number here, such as 32",Agree,,Agree,I would choose neutral. But it is not in the scale.,Agree,,Disagree,,,Not Strict,,"C++,Python,Java,C#,Other language? Please specify below.","PHP
VB.NET",10+ years
15,Strongly Agree,,Agree,,Agree,,Agree,,Agree,,7,,Agree,,Disagree,It is preferred to have it in grammatically correct structure but not necessarily,Agree,,Disagree,It might depend on the context/application,,Slightly Strict,,"C++,Python,Java,C,C#,JavaScript,Other language? Please specify below.","Haskell, GOLANG",5 - 9 years
16,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,7,,Agree,,Agree,,Strongly Agree,,Strongly Agree,,,Slightly Strict,Standard aspnet mvc naming conventions,"C++,Python,C,C#,JavaScript",,3 - 4 years
17,Strongly Agree,,Agree,"Sometimes this might not be the case with unit test methods. Some projects/organizations have naming conventions for test method (e.g., method name should start with the term 'test')",Agree,"There will always be instances where a product/domain term would be included in the method name. In s fact, in some instances having such terms in the method name will actually improve code comprehension.",Strongly Agree,,Strongly Agree,,5,,Agree,,Agree,,Strongly Agree,,,Some unit test method naming conventions use 'test' as a prefix.,,No Standards,For python -- pep8,"Python,Java,C#,JavaScript",,10+ years
18,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,4,,Strongly Agree,,Agree,,Agree,,Agree,,,Slightly Strict,I do personal coding,"C++,Java,C,JavaScript",,5 - 9 years
19,Strongly Agree,,Agree,sometimes in functional programming languages it can be a noun,Strongly Agree,,Agree,,Strongly Agree,,3,,Disagree,,Disagree,,Strongly Agree,,Agree,,standrads are specific to languages,Strict,,"Python,Other language? Please specify below.","Go, Rust, Swift, Haskell, Julia, R, MATLAB",5 - 9 years
20,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Agree,,7,find() is clear as to what it does. It would be better to have shorter/concise method names with longer descriptions in comments.,Disagree,,Strongly Agree,,Strongly Agree,,Agree,,"If shortening a method name, at least pick the first X consecutive letters of the word. For example, opting to remove all vowels from a method name purely to shorten it should not be allowed. ",No Standards,,"C++,Python,Java,C,JavaScript",,10+ years
21,Strongly Agree,,Agree,"I could see situations where you may not NEED a verb. For instance if I have a point struct and want to set up a method with the signiture int& x(); I could then say, Point p; p.x() = 10; Maybe that'd be a reason not too?",Strongly Agree,,Strongly Agree,,Strongly Agree,,5,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,,Strict,"Mostly self imposed standards as my place of ""work"" is a start-up currently. ","C++,Python,Java,C,C#",,1 - 2 years
22,Strongly Agree,Strongly agree that naming conventions make code more readable.,Strongly Agree,Strongly agree that describing succinctly what the method does enhances readability.,Strongly Agree,"Agree - the norm is *English* natural language dictionaries and technical terms, for better or worse. ",Strongly Agree,"Perhaps a standard dictionary of commonly used abbreviations should be developed and published by ACM,etc?",,"Some potentially offensive acronyms should be also avoided - SLUT for standard lookup table, for example. ",6,Min should probably be 2. Total characters should be less than 25. ,Strongly Agree,Agree. Can be offensive in some cultures and not helpful for readability. ,Agree,"This will be harder to establish as a standard, because it forces English grammar as the norm. In the above example, it can create confusion. Is the return value a resource or a register?",Strongly Agree,"A single letter is completely unusable as a method, except for the simplest of coding examples. ",Agree,Probably true but I suppose it depends on whether multiple libraries and methods with similar method names are mixed. ,,Slightly Strict,I use the naming standards presented in this survey. ,"C++,Python,Java,C,C#,Other language? Please specify below.",XML,10+ years
23,Strongly Agree,,Strongly Agree,,Agree,,Strongly Agree,,Strongly Agree,,4,,Strongly Agree,,Agree,,Strongly Agree,,Strongly Agree,,,Not Strict,,"C++,Python,Java,C",,10+ years
24,Strongly Agree,,Agree,There is a style for this which doesn't follow what you provided which I've seen also. Property named methods that use the name of the property without a verb. They have 2 forms of this the first is const ref the second is ref. They function as both a setter and getter method because you can assign to the reference.,Strongly Agree,,Strongly Agree,,Strongly Agree,,6,This is a company policy thing. Although I will say there is no limit when it comes to naming testing functions. In fact I'd say the more words the better with testing functions.,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Technically you could also mention Hungarian notation. It's for OS level stuff where you have to interact with large amounts of raw memory. But it's one of those things that literally anyone who uses it hates it. But again Hungarian only really applies to variable names. There's an old C style naming convention where by one would embed type names into the function to indicating overloading. Think of stoi or stof. Those kinds of functions.,Very Strict,"We use the clang coding standard. Names are PascalCase for variables names, and type and camelCase for method names. ","C++,Python,Java,C,C#,JavaScript",,10+ years
25,Strongly Agree,,Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,3,,Strongly Agree,,Disagree,,Strongly Agree,,Strongly Agree,,,Strict,,"Java,JavaScript",,10+ years
26,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,15,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,,Not Strict,,"C++,Python,Java,C,JavaScript,Other language? Please specify below.",kotlin,10+ years
27,Strongly Agree,,Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,6,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,,Strict,,"Python,Java",,5 - 9 years
28,Strongly Agree,,Agree,,Strongly Agree,,Agree,,Agree,,7,,Strongly Agree,,Agree,,Strongly Agree,,Agree,,,No Standards,,Java,,3 - 4 years
29,,,,,,,,,,,,,,,,,,,,,,,,C#,,5 - 9 years
30,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Disagree,,5,,Agree,,Agree,,Disagree,,Agree,,,No Standards,,"C++,C",,5 - 9 years
31,Strongly Agree,The underscore notation is called snake_case.,Disagree,"It's entirely reasonable to name functions after properties they compute (e.g., size(), capacity(), empty())",Strongly Agree,,Agree,,Agree,,4,Follows what standard? find is a fine name for a generic algorithm.,Strongly Agree,,Strongly Disagree,The first part of the name is the algorithm followed by descriptors that characterize it: power_accumulate_positive computes powers by accumulating values and only accepts positive arguments. Forcing this into a grammatically correct structure would create an asymmetrically named set of related algorithms.,Strongly Agree,,Strongly Disagree,"When you don't have namespaces, this is the only way prevent name collisions. It's less appropriate for member functions.",,Slightly Strict,Whatever the convention of the project is.,"C++,Python,C",,10+ years
